,brand,prices,Discount,Ratings,Capacity,colour,User_Ratings,original_price
325,Voltas,27999,28,4.1,6.5,Grey,1654,19500
326,LG,18590,10,4.4,6,White,4,53990
327,Godrej,40170,35,4.4,7,Grey,551,18300
328,LG,15700,36,4.4,9,Silver,5202,51990
329,SAMSUNG,38990,12,4.4,9.5,White,124,35990
330,LG,31590,27,4.4,7,Silver,38,25990
331,IFB,22990,19,4.6,7,White,7959,14990
332,IFB,12349,21,5.0,6.5,White,525,34590
333,Haier,29750,17,4.4,7,Multicolor,1654,70890
334,IFB,50599,22,4.4,6.5,In-...,14,34590
335,BOSCH,29750,21,4.3,9,Silver,20140,70890
336,IFB,50599,13,4.4,6.5,In-...,22,52536
337,BOSCH,40990,30,4.0,9,Silver,29,16800
338,LG,13990,14,4.4,8,Black,335,14950
339,SAMSUNG,9990,30,4.3,6.5,Silver,51,49990
340,MarQ,42490,8,4.3,9,Grey,137,71999
341,IFB,39490,30,4.1,8.5,Lo...,14006,9900
342,Motorola,8990,16,4.3,10.5/6,Grey,66,20999
343,SAMSUNG,15990,24,4.4,6,Purple,27,16550
344,Thomson,15899,7,4.4,9,Grey,719,6690
345,Whirlpool,5699,15,4.4,8.5,Grey,11318,11250
346,ONIDA,9940,8,5.0,7,Maroon,116,35299
347,Whirlpool,30184,26,4.0,7,Grey,547,41990
348,Panasonic,28259,19,4.3,8,Silver,39,23490
349,LG,13990,25,4.0,9,Grey,24,26500
350,ONIDA,21990,34,5.0,7,Grey,127,15990
351,SAMSUNG,9990,19,4.3,6,Hea...,6183,51999
352,Voltas,37990,20,5.0,7.5,Grey,18,39200
353,Thomson,27990,18,1.0,10.5/8,White,4,23300
354,Whirlpool,19990,21,4.1,7,White,79,19990
355,Whirlpool,14349,13,4.0,7.5,Grey,550,11600
356,Voltas,10490,30,4.0,8,White,193,14990
357,Panasonic,13200,30,4.4,7,White,2684,56000
358,Whirlpool,42250,21,4.0,7.5,Maroon,3,15499
359,SAMSUNG,11999,17,5.0,8,Black,127,22500
360,Thomson,17900,22,4.1,10,White,24,35290
361,SAMSUNG,28790,33,4.5,7,Silver,6183,15000
362,IFB,12490,16,4.3,6.5,White,61984,18999
363,Voltas,13190,13,4.3,7.5,White,18,33999
364,MarQ,22490,7,4.2,7.5,Grey,2572,18000
365,MarQ,13990,13,3.7,7,Silver,30,27990
366,Godrej,17899,31,4.1,8.5,White,12280,45990
367,Voltas,34990,16,4.8,7,Grey,75,16990
368,LG,15750,19,4.3,7,Silver,27,53990
369,LG,41290,36,4.2,8,White,62485,21999
370,SAMSUNG,12990,35,4.4,8,Black,193,10999
371,Thomson,8199,10,4.6,7.5,Grey,18807,42990
372,Thomson,33490,30,4.3,7.5,Grey,121,7999
373,LG,6490,24,4.3,9,A...,17,31890
374,ONIDA,27990,4,4.2,9,Green,372,25990
375,IFB,22990,25,4.1,6,Silver,3423,51500
376,IFB,41990,14,4.4,6.5,White,49,7490
377,SAMSUNG,5699,25,4.3,9,Grey,22,23200
378,Voltas,19306,12,4.3,7.5,White,18807,66109
